time,open,high,low,close,px_volume,px_vwap,px_vwap_anchor
1782125100,4208.6,4208.98,4204.52,4205.5,1855,4186.15726817993,0
1782125400,4205.52,4209.47,4205.52,4208.09,1680,4186.2548267989705,0
1782125700,4208.09,4208.19,4203.69,4204.67,1735,4186.34452014475,0
1782126000,4204.73,4210.26,4204.58,4209.43,2459,4186.487091974311,0
1782126300,4209.43,4215.18,4209.3,4211,3258,4186.7053148547575,0
1782126600,4210.92,4211.24,4206.5,4208.09,2643,4186.85728577741,0
1782126900,4208.09,4208.82,4206.68,4208.02,1970,4186.965233670649,0
1782127200,4208.02,4209.66,4206.6,4207.98,1990,4187.0743964338435,0
1782127500,4207.98,4207.98,4203.45,4204.05,1829,4187.159927350736,0
1782127800,4204.01,4208.06,4203.55,4205.92,1934,4187.252893011696,0
1782128100,4205.92,4206.33,4202.21,4206.33,2061,4187.346273701883,0
1782128400,4206.36,4208.23,4204.94,4206.66,2039,4187.446276089801,0
1782128700,4206.66,4206.69,4203.66,4205.13,1924,4187.532622763502,0
1782129000,4205.12,4205.6,4201.46,4205.51,1986,4187.616017146976,0
1782129300,4205.52,4207.65,4204.85,4207.45,2242,4187.722988769959,0
1782129600,4207.45,4211,4205.89,4210.68,2449,4187.853968991899,0
1782129900,4210.68,4211.15,4206.64,4207.81,2405,4187.977138486583,0
1782130200,4207.81,4209.69,4205.41,4207.39,2219,4188.083822016092,0
1782130500,4207.38,4208.77,4206.17,4207.74,2102,4188.184136705013,0
1782130800,4207.74,4211.8,4206.94,4210.9,2609,4188.321956470925,0
1782131100,4210.88,4211.43,4206.3,4208.56,2218,4188.431754146767,0
1782131400,4208.57,4208.86,4203.46,4205.83,2372,4188.532380384809,0
1782131700,4205.83,4206.07,4203.29,4203.75,2437,4188.624773228706,0
1782132000,4203.74,4204.77,4200.97,4203.93,2328,4188.705677670413,0
1782132300,4203.92,4204.91,4199.78,4202.37,2299,4188.779963507335,0
1782132600,4202.35,4202.35,4197.42,4197.66,2369,4188.8377659194575,0
1782132900,4197.66,4197.74,4192.26,4193.37,2479,4188.870370632184,0
1782133200,4193.39,4196.93,4191.03,4193.45,3691,4188.912624680807,0
1782133500,4193.45,4194.38,4188.81,4190.92,3250,4188.931020030386,0
1782133800,4190.93,4194.69,4190.06,4194.41,3126,4188.960489164529,0
1782134100,4194.43,4196.94,4193.83,4195.89,3029,4189.005842743326,0
1782134400,4195.93,4195.99,4189.22,4190.24,2880,4189.024108354842,0
1782134700,4190.26,4191.56,4185.46,4187.03,3121,4189.017063465922,0
1782135000,4187.02,4188.58,4183.01,4185.9,3779,4188.990304685854,0
1782135300,4185.94,4193.02,4185.13,4192.12,3484,4188.998751646175,0
1782135600,4192.13,4194.58,4187.63,4191,3758,4189.015771485753,0
1782135900,4191,4202.14,4187.57,4199.97,3753,4189.07717744518,0
1782136200,4199.99,4205.02,4199.48,4204.03,3573,4189.1830322099295,0
1782136500,4204.01,4205.74,4198.96,4199.84,3270,4189.269199125223,0
1782136800,4199.9,4200.39,4193.87,4198.72,3471,4189.330981917021,0
1782137100,4198.64,4210.79,4196.57,4206.32,3719,4189.450186998371,0
1782137400,4206.33,4207.13,4200.66,4205.33,3549,4189.560831820456,0
1782137700,4205.28,4206.1,4195.8,4196.11,3487,4189.631531627383,0
1782138000,4196.16,4196.68,4191.17,4192.59,3614,4189.660163211669,0
1782138300,4192.54,4196.84,4191.85,4191.97,3627,4189.68901612256,0
1782138600,4191.98,4192.7,4187.68,4188.17,3660,4189.687736759304,0
1782138900,4188.21,4192.49,4186.6,4191.33,3545,4189.69096524648,0
1782139200,4191.32,4197.56,4191.14,4193.01,3542,4189.720797070441,0
1782139500,4193.04,4206.12,4192.97,4201.19,3696,4189.796886491741,0
1782139800,4201.17,4203.06,4197.38,4197.55,3604,4189.864593157075,0
1782140100,4197.55,4200.37,4196.18,4198.33,3517,4189.922609090189,0
1782140400,4198.34,4201.32,4196.25,4199.06,3378,4189.981416231964,0
1782140700,4199.01,4199.18,4194.81,4195.47,3534,4190.0258084961615,0
1782141000,4195.43,4199.01,4195.43,4197.81,3400,4190.074015324022,0
1782141300,4197.81,4197.94,4190.66,4192.16,3430,4190.096977636236,0
1782141600,4192.03,4192.85,4189.2,4190.93,3294,4190.1025697052555,0
1782141900,4190.93,4192.17,4188.26,4189.08,3361,4190.100887788144,0
1782142200,4189.06,4190.41,4187.57,4188.15,3179,4190.092615896248,0
1782142500,4188.16,4189.06,4180.47,4182.22,3170,4190.056206180441,0
1782142800,4182.21,4185.47,4180.43,4180.98,3062,4190.012250412529,0
1782143100,4180.96,4181.1,4170.1,4170.11,3321,4189.913111458275,0
1782143400,4170.17,4179.22,4169.84,4179.02,3372,4189.827580239968,0
1782143700,4178.97,4185.11,4178.11,4182.93,3112,4189.78361915625,0
1782144000,4182.9,4184.87,4176.85,4177.87,3257,4189.725279390283,0
1782144300,4177.88,4179.41,4175.7,4176.8,3210,4189.653696783539,0
1782144600,4176.8,4178.42,4174.46,4177.62,2991,4189.585226219215,0
1782144900,4177.61,4180.2,4176.27,4179.27,2881,4189.528901251169,0
1782145200,4179.25,4182.88,4179.07,4181.18,2959,4189.484529387092,0
1782145500,4181.18,4182.89,4180.17,4182.73,2929,4189.445627879228,0
1782145800,4182.73,4184.72,4181.39,4184.71,2712,4189.417920263113,0
1782146100,4184.7,4186.31,4183.44,4183.47,2662,4189.39468700309,0
1782146400,4183.42,4183.86,4181.29,4181.93,2767,4189.360948812878,0
1782146700,4181.92,4184.99,4180.89,4184.85,2662,4189.3343828142415,0
1782147000,4184.85,4187.82,4184.26,4187.05,2283,4189.322778385951,0
1782147300,4187.05,4192.62,4186.4,4189.9,2603,4189.324191118181,0
1782147600,4189.93,4191.21,4188.38,4189.34,2602,4189.325605560967,0
1782147900,4189.32,4189.32,4186.33,4187.6,2399,4189.319193456727,0
1782148200,4187.61,4188.44,4186.07,4186.75,2254,4189.31068959884,0
1782148500,4186.74,4189.84,4186.54,4189.51,2240,4189.308122623746,0
1782148800,4189.5,4191.63,4189.12,4189.19,2418,4189.310846619929,0
1782149100,4189.21,4189.26,4183.37,4184.17,2710,4189.294061148174,0
1782149400,4184.18,4184.87,4177.73,4178.97,2695,4189.25478431659,0
1782149700,4178.98,4181.56,4177.16,4181.11,2746,4189.2124899237,0
1782150000,4181.11,4181.91,4180.28,4181.57,2387,4189.181187858455,0
1782150300,4181.61,4183.41,4180.09,4182.46,2341,4189.1535448719405,0
1782150600,4182.45,4183.16,4180.82,4182.67,2181,4189.128802031629,0
1782150900,4182.67,4183.75,4182.04,4183.1,2345,4189.105247395493,0
1782151200,4183.15,4185.29,4182.55,4183.39,2348,4189.084814624867,0
1782151500,4183.39,4184.68,4183.04,4184.39,2181,4189.067008783235,0
1782151800,4184.39,4186.3,4183.71,4184,2350,4189.05036114821,0
1782152100,4184.01,4187.04,4184.01,4185.57,2178,4189.038086310837,0
1782152400,4185.56,4189.79,4185.56,4188.67,2413,4189.034105976327,0
1782152700,4188.68,4188.78,4186.68,4188.08,2484,4189.029407381565,0
1782153000,4188.09,4189.45,4186.15,4186.68,2176,4189.023871021168,0
1782153300,4186.7,4188.14,4186.26,4186.91,2100,4189.017489871388,0
1782153600,4186.92,4189.98,4186.87,4189.82,2148,4189.017058060777,0
1782153900,4189.81,4192.87,4189.67,4191.93,2178,4189.025521876366,0
1782154200,4191.93,4192.13,4189.95,4190.71,2198,4189.032077297634,0
1782154500,4190.72,4191.74,4189.78,4191.28,2461,4189.039376553829,0
1782154800,4191.3,4193.41,4191.15,4191.93,2603,4189.052010691507,0
1782155100,4191.93,4192.8,4191.39,4192.41,2415,4189.063778356686,0
1782155400,4192.41,4192.89,4191,4191.39,2219,4189.07300754841,0
1782155700,4191.39,4192.05,4189.99,4190.87,2470,4189.080208033028,0
1782156000,4190.86,4190.89,4187.77,4188.44,2435,4189.080033284084,0
1782156300,4188.45,4189.03,4187.39,4187.45,2366,4189.075978730727,0
