time,open,high,low,close,px_fib_active,px_fib_dir,px_fib_origin,px_fib_e1_price,px_fib_e2_price,px_fib_e3_price,px_fib_e4_price,px_fib_100_price,px_fib_tp1_price,px_fib_tp2_price,px_fib_tp3_price,px_fib_e1_touch,px_fib_e2_touch,px_fib_e3_touch,px_fib_e4_touch,px_fib_100_touch,px_fib_tp1_touch,px_fib_tp2_touch,px_fib_tp3_touch,px_fib_reset_active,px_fibo_half_reached,px_sniper_active,px_sniper_dir,px_sniper_created,px_sniper_confirmed,px_sniper_zone_active,px_sniper_top,px_sniper_bot,px_macro_active,px_macro_dir,px_macro_locked,px_macro_visible,px_macro_new_cycle,px_macro_extended,px_macro_top,px_macro_bot,px_macro_e1_price,px_macro_e2_price,px_macro_e3_price,px_macro_e4_price,px_macro_ll_price,px_macro_tp1_price,px_macro_tp2_price,px_macro_hh_price,px_macro_e1_touch,px_macro_e2_touch,px_macro_e3_touch,px_macro_e4_touch,px_macro_ll_touch,px_macro_tp1_touch,px_macro_tp2_touch,px_macro_hh_touch,px_ifib_active,px_ifib_dir,px_ifib_reset_active,px_ifib_e1_touch,px_ifib_e2_touch,px_ifib_e3_touch,px_ifib_e4_touch,px_ifib_100_touch,px_ifib_tp1_touch,px_ifib_tp2_touch,px_ifib_tp3_touch
1765348200,4207.44,4207.59,4203.14,4206.32,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765349100,4206.34,4207.73,4205.24,4207.45,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765350000,4207.44,4209.33,4204.7,4206.03,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765350900,4206.01,4209,4205.5,4207.39,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765351800,4207.39,4208.32,4206.44,4206.97,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765352700,4206.97,4207.13,4203.25,4203.33,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765353600,4203.37,4206.1,4200.28,4202.52,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765354500,4202.5,4206.56,4202.12,4203.95,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765355400,4203.96,4204.01,4198.78,4199.84,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
1765356300,4199.85,4201.95,4197.14,4198.01,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765357200,4198.01,4200.6,4194.54,4197.93,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
1765358100,4197.93,4198.96,4195.35,4197.91,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765359000,4197.91,4198.27,4194.2,4194.99,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765359900,4194.99,4195.71,4192.72,4194.32,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1765360800,4194.32,4196.37,4191.63,4195.83,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765361700,4195.86,4196.02,4191.71,4191.95,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765362600,4191.95,4194.55,4187.84,4194.13,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
