entry_utc,entry_ny,year,month,weekday,hour_ny,session,regime,dir,r,grade,pnl_usd,entry_price,exit_price,stop_distance,bars_held,mfe_usd,mae_usd,mfe_r,mae_r,exit_reason,costs_usd
2020-05-11T10:00:00,2020-05-11 06:00,2020,05,Mon,06,London,TRENDING,long,3.497,win,3148.56,1697.42,1753.41,16.01,468,3809.88,-309.29,4.232,-0.344,L-RUN,0.0
2020-07-10T10:30:00,2020-07-10 06:30,2020,07,Fri,06,London,TRENDING,short,1.0,win,1215.17,1809.05,1800.19,8.86,22,1838.19,-198.3,1.513,-0.163,S-RUN,0.0
2020-10-02T05:15:00,2020-10-02 01:15,2020,10,Fri,01,Asia,TRENDING,short,-1.0,loss,-1336.69,1904.17,1912.07,7.9,4,1194.56,-1725.85,0.894,-1.291,S-RUN,0.0
2020-11-04T01:00:00,2020-11-03 20:00,2020,11,Tue,20,Asia,TRENDING,long,1.0,win,1203.02,1892.74,1898.59,5.86,1,2729.65,-2283.78,2.269,-1.898,L-RUN,0.0
2020-11-09T13:00:00,2020-11-09 08:00,2020,11,Mon,08,London,TRENDING,long,-1.0,loss,-1323.32,1898.99,1881.62,17.37,2,956.87,-1844.42,0.723,-1.394,L-RUN,0.0
2021-04-21T01:00:00,2021-04-20 21:00,2021,04,Tue,21,Asia,TRANSITIONING,short,-1.0,loss,-1190.99,1780.96,1790.0,9.04,51,523.03,-2192.26,0.439,-1.841,S-RUN,0.0
2021-05-14T06:15:00,2021-05-14 02:15,2021,05,Fri,02,Asia,TRENDING,short,-1.0,loss,-1071.89,1831.33,1845.46,14.13,58,367.16,-1116.65,0.343,-1.042,S-RUN,0.0
2021-06-08T12:30:00,2021-06-08 08:30,2021,06,Tue,08,London,TRENDING,short,1.0,win,964.7,1900.78,1898.28,2.51,96,6579.6,-1122.59,6.82,-1.164,S-RUN,0.0
2021-06-11T15:15:00,2021-06-11 11:15,2021,06,Fri,11,NewYork,TRANSITIONING,long,-1.0,loss,-1061.17,1876.87,1869.88,6.98,35,751.25,-1550.36,0.708,-1.461,L-RUN,0.0
2021-07-23T10:00:00,2021-07-23 06:00,2021,07,Fri,06,London,TRENDING,long,-1.0,loss,-955.05,1799.18,1792.68,6.5,6,489.64,-1367.61,0.513,-1.432,L-RUN,0.0
2021-09-23T13:00:00,2021-09-23 09:00,2021,09,Thu,09,NewYork,TRENDING,long,-1.0,loss,-859.55,1754.68,1741.95,12.73,29,653.69,-1145.73,0.761,-1.333,L-RUN,0.0
2021-12-15T20:30:00,2021-12-15 15:30,2021,12,Wed,15,NewYork,TRENDING,short,-1.0,loss,-773.59,1780.8,1791.54,10.74,68,380.31,-877.31,0.492,-1.134,S-RUN,0.0
2021-12-27T13:45:00,2021-12-27 08:45,2021,12,Mon,08,London,TRENDING,short,-1.0,loss,-696.23,1808.78,1811.86,3.08,6,540.01,-1029.07,0.776,-1.478,S-RUN,0.0
2022-04-12T12:30:00,2022-04-12 08:30,2022,04,Tue,08,London,TRENDING,short,-1.0,loss,-626.61,1961.27,1969.63,8.37,1,448.33,-804.89,0.715,-1.285,S-RUN,0.0
2022-08-11T12:15:00,2022-08-11 08:15,2022,08,Thu,08,London,TRENDING,short,0.029,be,16.35,1797.55,1797.25,10.35,98,689.88,-91.86,1.223,-0.163,S-RUN,0.0
2022-08-30T14:30:00,2022-08-30 10:30,2022,08,Tue,10,NewYork,TRENDING,long,0.109,be,61.7,1723.06,1723.36,2.75,8,822.67,-390.77,1.455,-0.691,L-RUN,0.0
2022-09-07T17:30:00,2022-09-07 13:30,2022,09,Wed,13,NewYork,TRENDING,short,-1.0,loss,-571.75,1717.18,1726.67,9.49,68,222.13,-662.78,0.389,-1.159,S-RUN,0.0
2022-11-01T12:15:00,2022-11-01 08:15,2022,11,Tue,08,London,TRENDING,short,1.0,win,514.58,1656.57,1638.25,18.32,139,696.59,-360.94,1.354,-0.701,S-RUN,0.0
2022-11-04T12:45:00,2022-11-04 08:45,2022,11,Fri,08,London,TRENDING,short,-1.0,loss,-566.04,1657.53,1669.42,11.89,5,103.78,-625.54,0.183,-1.105,S-RUN,0.0
2022-11-28T08:15:00,2022-11-28 03:15,2022,11,Mon,03,Asia,TRENDING,short,-1.0,loss,-509.43,1756.72,1761.08,4.36,3,374.91,-691.92,0.736,-1.358,S-RUN,0.0
2022-11-29T05:15:00,2022-11-29 00:15,2022,11,Tue,00,Asia,TRENDING,short,-1.0,loss,-458.49,1754.83,1763.7,8.87,124,409.38,-500.36,0.893,-1.091,S-RUN,0.0
2023-01-24T15:00:00,2023-01-24 10:00,2023,01,Tue,10,NewYork,TRENDING,long,1.244,win,513.34,1920.36,1931.57,9.02,4,744.49,-150.36,1.804,-0.364,L-RUN,0.0
2023-02-02T14:45:00,2023-02-02 09:45,2023,02,Thu,09,NewYork,TRENDING,long,-1.0,loss,-463.98,1924.93,1900.8,24.13,87,253.66,-739.27,0.547,-1.593,L-RUN,0.0
2023-07-27T12:45:00,2023-07-27 08:45,2023,07,Thu,08,London,TRENDING,long,-1.0,loss,-417.58,1958.66,1949.5,9.16,3,314.09,-634.57,0.752,-1.52,L-RUN,0.0
2023-09-15T13:15:00,2023-09-15 09:15,2023,09,Fri,09,NewYork,TRENDING,short,-1.0,loss,-375.82,1923.59,1930.7,7.12,106,105.91,-399.06,0.282,-1.062,S-RUN,0.0
2023-09-20T20:00:00,2023-09-20 16:00,2023,09,Wed,16,NewYork,TRENDING,long,-1.0,loss,-338.24,1932.61,1927.86,4.75,13,72.35,-423.06,0.214,-1.251,L-RUN,0.0
2023-10-11T06:30:00,2023-10-11 02:30,2023,10,Wed,02,Asia,TRANSITIONING,short,-0.098,be,-29.96,1862.83,1863.08,2.54,1,403.89,-105.47,1.327,-0.346,S-RUN,0.0
2023-12-04T15:15:00,2023-12-04 10:15,2023,12,Mon,10,NewYork,TRENDING,long,-0.743,loss,-223.89,2040.15,2033.19,9.37,1,385.06,-645.3,1.277,-2.141,L-RUN,0.0
2024-01-10T10:00:00,2024-01-10 05:00,2024,01,Wed,05,London,TRENDING,short,1.0,win,279.03,2036.77,2031.62,5.15,61,885.85,-185.84,3.175,-0.666,S-RUN,0.0
