time,open,high,low,close,px_eq_tol,px_eq_ph,px_eq_pl,px_eqh_new,px_eql_new,px_eqh_cnt,px_eql_cnt,px_eqh_0,px_eqh_1,px_eqh_2,px_eqh_3,px_eqh_4,px_eqh_5,px_eql_0,px_eql_1,px_eql_2,px_eql_3,px_eql_4,px_eql_5
1781813700,4217.27,4219.61,4215.08,4219.06,2.5165131575959876,,,,,10,2,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,4170.27,,,,
1781814600,4219.03,4219.03,4212.95,4212.95,2.496732894444071,,,,,10,2,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,4170.27,,,,
1781815500,4212.97,4213.43,4207.88,4208.16,2.4745482365551905,4219.61,,,,10,2,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,4170.27,,,,
1781820000,4211.28,4213.31,4203.3,4208.04,2.4751072718240876,,,,,10,2,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,4170.27,,,,
1781820900,4208.04,4210.16,4202.74,4204.09,2.4627051263876063,,,,,10,2,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,4170.27,,,,
1781821800,4204.1,4205.74,4203.16,4205.11,2.426351023859854,,,,,10,2,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,4170.27,,,,
1781822700,4205.12,4210.63,4204.3,4207.45,2.4094740033826567,,4202.74,,4201.6,10,3,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,4170.27,4201.6,,,
1781823600,4207.45,4208.36,4194.18,4195.86,2.4321845233150006,,,,,10,2,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,4170.27,,,,
1781824500,4195.86,4199.52,4193.86,4197.33,2.4118408328487044,4210.63,,,,10,2,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,4170.27,,,,
1781825400,4197.34,4199.24,4194.05,4194.33,2.3895540161917284,,,,,10,2,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,4170.27,,,,
1781826300,4194.33,4194.56,4186.9,4188.43,2.3800629358678975,,,,,10,2,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,4170.27,,,,
